buffer100m_nhdid	lagoslakeid	buffer100m_ha
155351383	603	40.4581
56128803	604	34.4132
155351435	605	24.3982
80993707	606	13.6437
37609803	607	20.3197
152517935	608	54.1114
114542575	609	54.3826
120020387	610	31.6541
155641805	611	40.3477
74926703	612	131.7992
152518350	613	113.0807
59723967	614	75.9253
110735793	615	54.0257
123148204	616	54.1231
155408453	617	87.9379
75473371	618	127.6657
155640865	619	41.3433
91687073	620	107.5966
111864605	621	134.7325
155636937	622	45.6626
75474533	623	26.9808
87819959	624	31.1601
90385436	625	54.1792
155472029	626	29.2805
82818960	627	78.1182
121860154	628	49.2989
75661507	629	23.96
75652611	630	35.1408
145331833	631	82.4754
114539935	632	142.941
120018306	634	60.59
80995245	635	230.8607
72857899	636	25.9517
47719159	637	304.9003
25603321	638	13.3097
155640103	639	41.7669
151717864	640	66.6642
70333889	641	26.2813
120018115	642	27.0992
123394248	643	277.1041
151717889	644	20.2026
123165665	645	101.7835
86444277	646	17.1852
152019702	647	547.0171
70332495	648	37.951
70336911	649	38.2428
75473611	650	20.8459
75476029	651	31.7329
60445815	652	12.0496
114542615	653	23.1912
155642815	654	21.8146
155637952	655	27.8207
64657594	656	36.3394
151914973	657	35.127
151873969	658	85.0748
152518303	659	33.9738
59746765	660	65.6008
155245225	661	187.3664
152192918	663	23.8338
61772655	665	137.492
126212479	666	663.3406
{9FD1BF9C-A06C-4C04-BA7A-10FED2C6AA4E}	667	22.9706
148710305	668	267.0906
80996995	669	53.7094
152708039	670	70.0504
152274884	671	71.3672
70331373	672	23.5061
106351361	673	38.1108
149759019	674	35.3835
155390799	675	39.4601
69886702	676	24.0783
157361618	677	22.0881
120018097	678	57.7001
150994589	679	34.9463
120019974	680	81.0821
123165899	681	87.1084
{79B6E458-238D-4301-AC8A-FC227ED4C3E9}	682	15.0157
145333926	683	53.0916
120018079	685	83.6965
{44CFFFD4-44C0-4CAE-BC84-98FB539A4817}	686	16.9224
45385910	687	67.0118
109943390	688	75.9019
152518193	690	33.6132
75474743	691	19.124
86274381	692	62.6352
121861006	693	20.7166
120019306	694	64.5399
32671162	695	271.7978
155635952	696	57.1059
60091356	697	73.9565
139260146	698	20.6758
157143598	699	195.1445
34126801	700	15.7274
155639870	701	25.6953
69885372	702	18.1151
114540067	703	211.1851
167256817	704	34.0542
74716689	705	64.3569
45724492	706	32.5007
155635912	707	54.3032
155410966	708	65.9644
151717936	709	180.6295
122934081	710	27.8093
{7B497523-5BF4-4740-A2F2-7DD4BFF76F9A}	711	17.5054
100522160	712	20.3677
{2850DB3B-E38E-42E6-9512-D8FBFC41BD34}	713	33.6917
117626885	714	53.0112
75653819	715	20.2978
35034217	716	59.6756
118254033	717	53.3032
157355460	718	27.3152
70335803	720	63.3176
155642842	721	12.7141
57116373	722	46.022
70331569	723	11.3272
76243866	724	20.2902
80997361	725	70.7089
45730856	726	26.3964
123166696	728	20.6454
32672239	729	201.2209
80996679	730	55.0449
82818010	731	46.0879
75472989	732	26.5172
120018085	734	36.6941
70336117	735	28.1616
45365847	736	41.8084
120022727	737	28.4241
86277937	738	75.7331
{4298AFEB-171B-421D-8901-7E200CBB8EFF}	739	32.4119
111861279	740	69.2536
120018643	741	119.0235
{ACF199DB-D021-4D1A-8F3A-D227694C9C72}	743	20.3143
{45A34DBE-8B4D-4A44-8897-47CEAEAB156B}	744	22.5971
70334827	745	56.4598
155352679	746	28.8653
155635938	747	106.309
75473997	748	22.6231
86366027	749	130.4105
75661179	750	74.553
75656815	751	21.4258
82815234	752	48.4701
5e0d70a9-30a4-4e18-b063-5287b5d4a411	753	23.9865
{4C67229A-45D2-456D-95F9-5270A5EFF958}	754	16.6838
120018381	755	46.0724
B62A3EBC-3812-446B-8FFC-1BEB9A006D12	756	166.2201
152377026	757	256.2963
120020090	758	270.4872
{D33BD373-D6E7-4E9B-B9BA-0B8AC37A197E}	759	19.4569
155642441	760	21.6794
166868554	761	82.2233
151949002	762	42.6944
80002665	763	58.3253
152373071	764	42.4988
34131191	765	11.7975
37649149	766	141.9294
80997263	767	73.9167
120019314	768	58.0544
166866591	769	65.2638
86276583	770	42.4104
69884750	771	37.5171
70332209	772	33.2922
120019682	773	47.8225
155642664	774	21.0036
120020421	775	49.2732
110736275	776	37.5605
91574089	777	824.3764
105954081	778	557.965
120020203	780	15.8726
120018034	781	52.2134
76155939	782	12.4877
32732186	783	283.5292
120019220	784	57.4733
152517931	785	58.7195
29827131	786	17.4118
82552206	787	70.6206
D1B1329D-7DBA-47B5-B828-9EFE0F9438F9	788	2394.6531
120019364	789	52.2069
83976899	790	42.4758
120020979	791	115.2518
152842280	792	49.3535
155638658	793	19.7624
91684971	794	18.0963
105233685	795	62.7899
114539815	796	130.0309
70330959	798	47.8795
155352553	799	63.3196
120018039	800	94.7601
47479601	801	25.8705
70331913	802	54.7746
69886650	803	1350.6488
120019802	804	73.7584
120020434	805	33.6921
{4B9142E5-3575-4603-9746-7210D2629FEF}	806	18.5411
147104885	807	46.212
90373752	808	48.5787
26051940	809	17.7782
150436670	810	34.4586
70333447	811	43.4417
82820400	812	47.4741
80994347	813	139.2862
{139391AB-F7E2-401F-8364-F962B61F9E14}	814	134.3078
155443325	815	12.3164
107070582	816	38.4132
151717768	817	78.6529
75472613	818	36.5879
155642885	819	25.1463
145334286	820	166.5822
152094908	821	64.8307
152707304	822	41.7324
68838997	823	29.7558
{C1AE8E9F-A731-4CF1-80BB-8887E245A2D6}	824	44.0487
69885050	825	18.9479
136665926	826	33.4862
143249705	827	72.2452
47484926	828	17.8481
{D6AA928B-DC70-4B63-8475-B8A9003E94FE}	829	20.778
123397067	830	66.7771
145330487	831	118.7422
152517631	832	48.384
120019937	833	70.1209
129225129	834	96.0836
155411163	835	102.9374
145333719	836	81.8717
{FDDE8C1D-21CD-4117-83F0-92A72AC6EE26}	838	34.3452
155642588	839	26.4004
167791873	840	29.0343
68838115	841	34.5304
120018852	842	91.4263
120018136	843	37.143
120019187	844	400.1295
155636047	845	155.3345
155471708	846	14.0354
152274857	847	36.5326
120019964	848	40.9632
70332981	849	19.5058
155641148	850	40.4832
155636730	851	73.4485
155637003	852	76.6653
83947098	853	61.1711
122382883	854	51.6222
56891161	855	254.6522
87818945	856	53.728
120018060	857	55.022
155444366	858	47.9844
80001697	859	35.7346
155351316	860	81.6789
74928969	861	12.2602
60462531	862	22.4889
{DC36BC8B-A19D-4350-AFC2-939412368067}	863	15.6967
111861257	864	74.0067
152372230	865	34.6197
80995977	866	101.8225
145334300	867	303.5478
155636795	868	63.7237
155642850	869	16.9996
{88D5B4F5-85B5-4C31-9AC2-FC6C632187A8}	870	36.4886
123056310	871	42.3639
72862359	872	32.2248
155642878	873	22.178
74928835	874	19.1203
61790835	875	15.1562
120019732	876	349.4653
113471151	877	78.2665
120020635	878	221.9962
123166123	879	16.8669
120019214	880	693.3871
80995049	881	67.1911
120020737	882	65.8876
73028665	883	15.8936
120019928	884	48.2239
76247066	885	53.7069
107071188	886	47.0362
147104903	887	28.5852
120020463	888	46.9207
{E0E6126C-5709-48DE-AFE1-C044FC1E96DD}	889	22.6241
155641466	890	17.4429
69885856	891	54.06
69546547	892	53.6386
155472509	893	33.7484
{2732C1F9-5912-4ADE-9335-D9A3E4047CDD}	894	22.5536
155637334	895	64.5535
{B49782CC-FEC6-4C4C-B57C-80D916980898}	896	24.7439
152012686	899	176.3669
157067971	900	45.7236
143249117	901	13.5383
32671150	902	163.2142
155351394	903	57.0704
29887033	904	24.8962
68839013	905	12.5914
69886444	906	40.0163
{BBF906B9-3695-4FBA-8238-DC01CF6FEE4F}	907	16.3939
148710583	909	78.9121
80001879	911	16.831
116542245	912	100.5173
78533113	913	113.8088
147104089	914	76.4875
122548488	915	960.7383
70336259	916	127.0318
70333789	917	21.296
114540013	918	62.9073
34124317	919	26.8314
143250011	920	18.293
120019058	921	773.4678
152517981	922	25.0678
110736239	923	32.5029
120020373	924	31.1827
70332409	925	37.2807
86445133	926	13.3042
35039759	927	21.0545
106374460	928	23.0333
152841351	929	202.4154
167258137	931	114.8157
152372714	932	14.8107
106352151	933	83.859
123396614	934	67.7202
157355523	935	17.2154
78538649	936	33.0014
155635854	937	35.4171
121860658	938	82.876
151914944	939	71.1811
150432955	940	33.0731
{012EE941-484D-4788-9BCB-9A580D7D9368}	941	16.0853
143250657	942	16.1046
83977733	943	18.523
155641982	944	43.9054
155642544	945	32.5417
143249192	946	234.6959
123148231	947	21.5873
123148050	948	36.7262
147104900	949	62.7484
69886912	950	53.6703
69543891	952	21.0769
84589707	953	32.7771
155637876	954	91.8069
120020370	955	76.0136
70332773	956	62.1115
106374048	957	29.9284
80005877	958	26.1435
147104498	959	41.5456
120019738	960	94.4422
77358264	961	34.7694
75475207	962	22.3408
167256810	963	71.4569
70330747	964	17.294
143249413	966	49.8015
155472197	967	178.3222
70335681	968	648.0741
70333441	969	86.2071
121858448	970	36.6759
120020198	971	76.0248
120018653	972	220.4172
91683191	973	60.4553
83977123	974	164.322
120018700	975	54.3706
77358322	976	142.2961
123397639	977	29.2426
70331105	978	45.6038
69887418	979	23.1393
47477723	980	18.5975
81000109	981	30.0919
70333287	982	13.9739
70330301	983	102.3153
152133995	984	361.6497
35033321	985	12.3196
121207047	986	123.4177
59752541	987	35.0448
120020590	988	83.9425
129728854	989	32.2618
86274749	990	37.0358
155385324	991	91.2619
120020625	992	89.4482
60435081	994	14.6704
91677211	995	20.4542
120018981	996	2531.6659
155635899	998	52.4725
106352243	999	43.5948
70331491	1000	19.8598
120019198	1001	93.2274
25625776	1002	16.5854
120019818	1003	121.09
120019336	1004	55.6544
155356470	1005	30.255
155413318	1006	29.8951
25472138	1007	23.9968
100535374	1008	20.1805
109946536	1009	31.6968
47723271	1010	28.5063
120020963	1011	108.4097
45385756	1013	113.2632
155472741	1014	71.8342
90770131	1015	119.0983
70332827	1016	24.3014
57936564	1017	124.9225
145218907	1018	91.4307
155443511	1019	27.9098
120019518	1020	71.163
{7A709D9C-3F2E-43C4-AC52-67DE560DDC12}	1021	20.6834
114544961	1022	29.9703
151717852	1023	53.1995
155637270	1025	100.976
152707020	1026	34.1687
60087664	1027	40.8388
152707525	1028	67.5375
80006805	1029	82.908
149759155	1030	43.3735
{7BE1346B-71F3-4542-B3A6-0E77B1EF9A8E}	1031	29.0993
75473959	1032	26.3409
114542547	1033	11.6117
70336027	1034	28.7774
136863492	1035	57.9806
60436051	1036	20.7181
121859037	1037	22.5406
155635994	1038	139.2862
145334073	1039	37.0857
123397651	1040	400.584
143249038	1041	82.7898
120020155	1042	38.3841
157076187	1043	91.8021
111860699	1044	61.9866
47726570	1045	56.9832
77358424	1047	26.259
34130604	1048	46.0174
47484435	1049	15.099
111860937	1050	89.4755
155641417	1051	105.374
76156565	1052	12.1346
120018270	1053	85.1299
155417478	1054	669.9984
120018280	1055	35.1234
151873978	1056	42.6513
75660379	1057	21.1528
155411074	1058	525.2905
69543945	1059	14.5426
120020820	1060	75.9519
120020307	1061	175.8558
148710561	1062	79.3014
25483264	1063	56.4493
105953491	1064	163.5244
120018102	1065	34.8067
75660509	1066	13.807
120019939	1067	113.1852
69884890	1068	16.2658
151717905	1069	21.2738
120020108	1070	249.5298
114542699	1071	158.9222
72863677	1072	120.8082
91682521	1073	46.8429
75474159	1074	11.7593
120020156	1075	33.0997
91598027	1076	182.7452
136688270	1077	22.5276
139259941	1078	55.9674
120020218	1080	23.9173
70335415	1081	15.0409
167258129	1082	130.2115
70336667	1083	38.1958
143250746	1084	16.5367
100541396	1085	43.126
128584700	1086	21.3905
120018163	1087	74.8834
136665210	1088	50.3694
120020212	1089	56.0858
120020078	1090	92.3531
143248852	1091	34.7655
120020994	1092	84.8482
122383047	1093	63.2507
120019547	1094	242.0246
157356350	1095	345.4475
155638339	1096	179.1543
69576730	1097	24.7671
25603315	1098	24.4188
70331981	1099	27.844
91574407	1100	45.01
114539833	1101	286.3905
77358200	1102	39.806
70333097	1103	40.5849
120018426	1104	70.8
