"name","type","lsa_ha","ca_ha","region","dataset"
"CLEAR POND","POND",70.59997559,557,NA,"ELS"
"OTTER LAKE","LAKE",16.19999695,321,NA,"ELS"
"NATE POND","POND",8.5,109,NA,"ELS"
"KEENAN POND","POND",9,264,NA,"ELS"
"BUTTERFIELD LAKE","LAKE",390,3559,NA,"ELS"
"CRYSTAL LAKE","LAKE",35.79998779,329,NA,"ELS"
"BIG POND","POND",18.79998779,995,NA,"ELS"
"INDIAN LAKE","LAKE",70.89996338,13919,NA,"ELS"
"RUTLAND LAKE","LAKE",6.299999237,914,NA,"ELS"
"SMITH POND","POND",15.19999695,161,NA,"ELS"
"SULLIVAN POND","POND",16.59999085,96,NA,"ELS"
"(NO NAME)","NO NAME",19.09999085,69925,NA,"ELS"
"TROUT LAKE","LAKE",102.5,1140,NA,"ELS"
"LOWER RESERVOIR","RESERVOIR",60.59997559,53458,NA,"ELS"
"CROSSETT POND","POND",45.29998779,155,NA,"ELS"
"LAKE LORAINE","LAKE",6.699996948,98,NA,"ELS"
"HADLOCK POND","POND",78.09997559,2277,NA,"ELS"
"COAN POND","POND",22.79998779,161,NA,"ELS"
"BUTLER POND","POND",34.5,277,NA,"ELS"
"CURTIS LAKE","LAKE",4,36,NA,"ELS"
"KEENAN RESERVOIR","RESERVOIR",19,287,NA,"ELS"
"DELTA RESERVOIR","RESERVOIR",958.3999023,37239,NA,"ELS"
"MOREAU LAKE","LAKE",28.3999939,231,NA,"ELS"
"PORT RESERVOIR","RESERVOIR",6.699996948,184,NA,"ELS"
"BALLSTON LAKE (NORTH END)","LAKE",104.3999634,2764,NA,"ELS"
"LITTLE ROUND POND","POND",11.8999939,148,NA,"ELS"
"WOODMAN POND","POND",37.79998779,3761,NA,"ELS"
"ZACK POND","POND",35.8999939,202,NA,"ELS"
"THIRD LAKE (ESSEX CHAIN)","LAKE",102.3999634,1914,NA,"ELS"
"CHENEY POND","POND",7.299999237,158,NA,"ELS"
"UNKNOWN POND","POND",13.8999939,497,NA,"ELS"
"ROSS POND","POND",9.5,106,NA,"ELS"
"CENTER POND","POND",6,259,NA,"ELS"
"LONG POND","POND",15.29999542,155,NA,"ELS"
"INDEPENDENCE LAKE","LAKE",19.8999939,168,NA,"ELS"
"GRASS POND","POND",5.099998474,228,NA,"ELS"
"NELSON LAKE","LAKE",36.69998169,495,NA,"ELS"
"ROUND POND","POND",13.59999847,117,NA,"ELS"
"GREEN POND","POND",13.8999939,96,NA,"ELS"
"(NO NAME)","NO NAME",8.899993897,149909,NA,"ELS"
"RICE RESERVOIR","RESERVOIR",7.299999237,311,NA,"ELS"
"BUTTERNUT POND","POND",65.19995117,1370,NA,"ELS"
"CRYSTAL LAKE","LAKE",20.8999939,321,NA,"ELS"
"SOUTH COLWELL POND","POND",42.19998169,324,NA,"ELS"
"(NO NAME)","NO NAME",16.09999085,29143,NA,"ELS"
"CORK CENTER RESERVOIR","UNKNOWN",15.5,111,NA,"ELS"
"SOUTH LAKE (EAST BRANCH)","LAKE",196,1644,NA,"ELS"
"ROCK POND","POND",13.3999939,109,NA,"ELS"
"ADIRONDACK LAKE","LAKE",84.59997559,298,NA,"ELS"
"BREWER LAKE","LAKE",7.199996948,54,NA,"ELS"
"ROUND POND","POND",8.099998474,83,NA,"ELS"
"NO NAME(ALLENS LAKE)","NO NAME",12.59999847,65,NA,"ELS"
"COBEY POND","POND",16.59999085,155,NA,"ELS"
"TINKWIG LAKE","LAKE",48.19998169,868,NA,"ELS"
"(NO NAME)","NO NAME",8.699996948,78,NA,"ELS"
"BURNT HOPE LAKE","LAKE",18,692,NA,"ELS"
"LAKE GILES","LAKE",47.5,176,NA,"ELS"
"TWIN LAKES (BRINK P)","LAKE",115,746,NA,"ELS"
"LAKE PAUPACK","LAKE",43.29998779,3629,NA,"ELS"
"BRUCE LAKE","LAKE",22.59999085,91,NA,"ELS"
"(NO NAME)","NO NAME",10.8999939,93,NA,"ELS"
"MUD POND","POND",4.299999237,194,NA,"ELS"
"MEMORY LAKE","LAKE",4.199996948,60,NA,"ELS"
"NO NAME(WILSON CREEK DAM)","NO NAME",4.299999237,453,NA,"ELS"
"LAKE EARNEST","LAKE",13.09999847,39,NA,"ELS"
"HEMLOCK LAKE","LAKE",42.5,311,NA,"ELS"
"(NO NAME)","NO NAME",8.199996948,41,NA,"ELS"
"LOG TAVERN POND","POND",30,210,NA,"ELS"
"GOULDSBORO LAKE","LAKE",107.1999512,1015,NA,"ELS"
"LAKE JAMIE","LAKE",16.59999085,212,NA,"ELS"
"GRAVEL POND","POND",8.699996948,91,NA,"ELS"
"GOOSE POND","POND",4,510,NA,"ELS"
"PORTERS LAKE","LAKE",97,647,NA,"ELS"
"MARCEL LAKE","LAKE",10.69999695,1075,NA,"ELS"
"BRADYS LAKE","LAKE",89.69995117,1751,NA,"ELS"
"WILKINSON LAKE","LAKE",9,342,NA,"ELS"
"PENN LAKE","LAKE",22,1805,NA,"ELS"
"NO NAME(EAST LAKE)","NO NAME",21,67,NA,"ELS"
"POCONO SUMMIT LAKE","LAKE",25.19999695,681,NA,"ELS"
"PLACID LAKE","LAKE",11.3999939,280,NA,"ELS"
"INDIAN MOUNTAIN LAKE","LAKE",16.79998779,743,NA,"ELS"
"ROCK HILL POND","POND",6,199,NA,"ELS"
"SACKETT LAKE","LAKE",50.8999939,471,NA,"ELS"
"NO NAME(LAKE SINCA)","NO NAME",8.299995422,114,NA,"ELS"
"NO NAME(LAKE IN THE WOODS)","NO NAME",4.399997711,34,NA,"ELS"
"(NO NAME)","NO NAME",6.199996948,155,NA,"ELS"
"LAKE METAUQUE","LAKE",29.5,430,NA,"ELS"
"MILLPOND NO. 1","POND",14.8999939,4387,NA,"ELS"
"LOWER LAKE (WEST)","LAKE",10.8999939,2618,NA,"ELS"
"LAKE MINISINK","LAKE",14,49,NA,"ELS"
"SUNRISE LAKE","LAKE",25.29998779,1168,NA,"ELS"
"NO NAME(STAIRWAY LAKE)","NO NAME",5,117,NA,"ELS"
"NO NAME(FOREST LAKE)","NO NAME",16.8999939,290,NA,"ELS"
"ORSON POND","POND",7.899997711,350,NA,"ELS"
"POYNTELLE LAKE","LAKE",28.5,225,NA,"ELS"
"ROCK LAKE","LAKE",33.69998169,210,NA,"ELS"
"ELK LAKE","LAKE",64.69995117,241,NA,"ELS"
"MUD POND","POND",6,101,NA,"ELS"
"NO NAME(SWACKHAMMER LAKE)","NO NAME",10.09999847,150,NA,"ELS"
"LAKE LODORE","LAKE",107.2999878,948,NA,"ELS"
"LITTLE KEEN POND","POND",7.599998474,1841,NA,"ELS"
"BRONSON POND","POND",23,616,NA,"ELS"
"TELSHAW POND","POND",12,83,NA,"ELS"
"NO NAME(ST. TIKHONS DAM)","NO NAME",4,168,NA,"ELS"
"MOOSIC LAKES (EASTERN)","LAKE",5,16,NA,"ELS"
"HALF MOON POND","POND",8.699996948,70,NA,"ELS"
"LAKE HENRY","LAKE",126.0999756,1510,NA,"ELS"
"CURTIS RESERVOIR","RESERVOIR",28.79998779,572,NA,"ELS"
"GRASSY POND","POND",5.299999237,41,NA,"ELS"
"DEEP HOLLOW POND","POND",10.3999939,231,NA,"ELS"
"MILL CREEK RESERVOIR","RESERVOIR",37.59997559,759,NA,"ELS"
"HENRY LAKE","LAKE",28.19999695,80,NA,"ELS"
"NO NAME(HIDDEN LAKE)","NO NAME",7.399997711,101,NA,"ELS"
"NO NAME(LAKE ALEEDA)","NO NAME",25.79998779,119,NA,"ELS"
"MEADOW RUN PONDS (SOUTH)","SWAMP",15,510,NA,"ELS"
"NO NAME(LAKE PINCREST)","NO NAME",27.19999695,166,NA,"ELS"
"HANOVER RESERVOIR","RESERVOIR",7,73,NA,"ELS"
"THE ICE PONDS (EAST)","POND",15.8999939,329,NA,"ELS"
"CRYSTAL LAKE","LAKE",212.8999023,658,NA,"ELS"
"BEAR CREEK LAKE","LAKE",31.59999085,8399,NA,"ELS"
"SECOND POND","POND",32.5,249,NA,"ELS"
"SWIFTWATER LAKE","LAKE",7.699996948,2484,NA,"ELS"
"MANZANEDO LAKE","LAKE",6.299999237,194,NA,"ELS"
"IVAN SWAMP","SWAMP",7.399997711,73,NA,"ELS"
"FIRST POND","POND",29.59999085,215,NA,"ELS"
"(NO NAME)","NO NAME",10.69999695,337,NA,"ELS"
"CRESENT LAKE","LAKE",6.199996948,78,NA,"ELS"
"BELMONT LAKE","LAKE",69.29998779,1114,NA,"ELS"
"NORTH LAKE","LAKE",16.09999085,54,NA,"ELS"
"TAMARACK LAKE","LAKE",29.5,440,NA,"ELS"
"MEADOW RUN PO.(LG.NORTH)","SWAMP",35.5,438,NA,"ELS"
"NO NAME(GARDNERS DAM)","NO NAME",6.199996948,974,NA,"ELS"
"HOADLEY POND","POND",14.8999939,52,NA,"ELS"
"MUD POND","POND",14.19999695,73,NA,"ELS"
"CURTIS POND","POND",16.09999085,171,NA,"ELS"
"LAKE MASKENOZHA","LAKE",77.39996338,5499,NA,"ELS"
"NO NAME(HIAWATHA LAKE)","NO NAME",6.299999237,145,NA,"ELS"
"KIZER POND","POND",43.3999939,596,NA,"ELS"
"BOYLE POND","POND",11.79999542,179,NA,"ELS"
"INDIAN LAKE","LAKE",13,67,NA,"ELS"
"CAYUGA LAKE","LAKE",16604.29688,202743,NA,"ELS"
"TRIANGLE LAKE","LAKE",10.69999695,117,NA,"ELS"
"GUILFORD LAKE","LAKE",29.79998779,404,NA,"ELS"
"AFTON LAKE","LAKE",12.8999939,36,NA,"ELS"
"OQUAGA LAKE","LAKE",53.69998169,267,NA,"ELS"
"LITTLE BUTLER LAKE","LAKE",9.599998474,137,NA,"ELS"
"STUMP POND","POND",9.099998474,129,NA,"ELS"
"BROWNS POND","POND",5.699996948,47,NA,"ELS"
"(NO NAME)","NO NAME",5.5,41,NA,"ELS"
"LITTLE ELK LAKE","LAKE",18.69999695,207,NA,"ELS"
"CONKLIN POND","POND",9.5,404,NA,"ELS"
"HARTLEY POND","POND",13.59999847,145,NA,"ELS"
"KIAMESHA LAKE","LAKE",58.8999939,249,NA,"ELS"
"CORD POND","POND",11.79999542,57,NA,"ELS"
"FEAGLES LAKE","LAKE",12,106,NA,"ELS"
"(NO NAME)","NO NAME",8.199996948,16,NA,"ELS"
"TROUT LAKE","LAKE",19.3999939,122,NA,"ELS"
"GLENBURN POND","POND",11,1981,NA,"ELS"
"BEACON RESERVOIR","RESERVOIR",9.399993897,202,NA,"ELS"
"CRAFT POND","POND",7,777,NA,"ELS"
"JACOX POND","POND",5.299999237,41,NA,"ELS"
"ELSTONS POND","POND",11.8999939,272,NA,"ELS"
"WIXON POND","POND",10,62,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,88,NA,"ELS"
"BARGER LAKE","LAKE",12.29999542,497,NA,"ELS"
"NO NAME(LAKE JAMIE)","NO NAME",15.8999939,65,NA,"ELS"
"KITCHELL LAKE","LAKE",8.299995422,220,NA,"ELS"
"EAST STROUDSBURG RESERV.","UNKNOWN",21.5,326,NA,"ELS"
"LAKE STOCKHOLM","LAKE",12.69999695,158,NA,"ELS"
"TROUT LAKE","LAKE",37,987,NA,"ELS"
"HIGH CREST LAKE","LAKE",16.19999695,171,NA,"ELS"
"STAG POND","POND",10.69999695,85,NA,"ELS"
"(NO NAME)","NO NAME",16.59999085,73,NA,"ELS"
"BARRETT POND","POND",29.69999695,171,NA,"ELS"
"(NO NAME)","NO NAME",17.29998779,88,NA,"ELS"
"NO NAME(SNOWFLAKE LAKE)","NO NAME",5.199996948,73,NA,"ELS"
"RIGA LAKE","LAKE",63.69998169,619,NA,"ELS"
"TYRRELL LAKE","LAKE",17.09999085,243,NA,"ELS"
"CLOVE ACRES LAKE","LAKE",13.79999542,5009,NA,"ELS"
"ISLAND POND","POND",21,414,NA,"ELS"
"SLY LAKE","LAKE",22.79998779,135,NA,"ELS"
"BASSETT POND","POND",16.19999695,98,NA,"ELS"
"POCANTICO LAKE","LAKE",25.3999939,3170,NA,"ELS"
"SOLON POND","POND",15.09999847,425,NA,"ELS"
"BASS LAKE","LAKE",5.5,1479,NA,"ELS"
"HOLP POND","POND",11.69999695,140,NA,"ELS"
"SAWMILL POND"," ",7.899997711,197,NA,"ELS"
"LAKE OWASSA"," ",106.5,979,NA,"ELS"
"FAIRVIEW LAKE"," ",39.5,303,NA,"ELS"
"LAKE MARCIA"," ",7.099998474,21,NA,"ELS"
"GREEN POND"," ",199.1999512,456,NA,"ELS"
"RAMAPO LAKE"," ",38.5,243,NA,"ELS"
"HANKS POND"," ",32.09997559,184,NA,"ELS"
"LAKE DENMARK"," ",107,1064,NA,"ELS"
"CLYDE POTTS RESERVOIR","RESERVOIR",18.09999085,528,NA,"ELS"
"SPLITROCK RESERVOIR","RESERVOIR",216.0999756,1251,NA,"ELS"
"CLINTON RESERVOIR","RESERVOIR",164.2999268,2600,NA,"ELS"
"BUTLER RESERVOIR","RESERVOIR",13.29999542,324,NA,"ELS"
"LAKE ABENIKI","LAKE",6.799999237,311,NA,"ELS"
"EDDY POND","POND",4.199996948,158,NA,"ELS"
"SOUTH POND","POND",6,31,NA,"ELS"
"LONG POND","POND",38.5,556.8,NA,"ELS"
"SANDY RIVER PONDS (MID)","POND",27.79998779,909,NA,"ELS"
"UPPER BAKER POND","POND",66.79998779,2646.9,NA,"ELS"
"(BIG) BERRY POND","POND",13.5,342,NA,"ELS"
"TEN THOUSAND ACRE POND","POND",13.5,339,NA,"ELS"
"WILSON HILL POND","POND",7.399997711,101,NA,"ELS"
"SPECTACLE POND","POND",17.8999939,131.26,NA,"ELS"
"LITTLE JIM POND","POND",33.19998169,114,NA,"ELS"
"GRASS POND","POND",29.5,925,NA,"ELS"
"WELHERN POND","POND",4.599998474,236,NA,"ELS"
"DECKER PONDS (EASTERN)","POND",5.699996948,117,NA,"ELS"
"LITTLE DIMMICK POND","POND",16.69999695,1124,NA,"ELS"
"CLEAR POND","POND",9.5,404,NA,"ELS"
"SAFFORD POND","POND",17.09999085,171,NA,"ELS"
"CRANBERRY POND","POND",39.19998169,591,NA,"ELS"
"ROUND POND","POND",17.5,197,NA,"ELS"
"BRAGG POND","POND",5.799999237,2789,NA,"ELS"
"PIKE POND","POND",5.5,135,NA,"ELS"
"HORSESHOE POND","POND",6,60,NA,"ELS"
"NORTH POND","POND",124.5,1031,NA,"ELS"
"PEARL LAKE","LAKE",24.69999695,1463,NA,"ELS"
"HUNT POND","POND",7.299999237,62,NA,"ELS"
"PEQUAWKET POND","POND",23.69999695,5514,NA,"ELS"
"COOKS POND","POND",11.19999695,487,NA,"ELS"
"RESERVOIR POND","RESERVOIR",63.79998779,1145,NA,"ELS"
"OSSIPEE LAKE","LAKE",1296.399414,81424,NA,"ELS"
"MUDGETTS POND","POND",4,137,NA,"ELS"
"ENFIELD RESERVOIR","RESERVOIR",7.399997711,396,NA,"ELS"
"DUNCAN LAKE","LAKE",34.09997559,132,NA,"ELS"
"SMITH POND","POND",28,231,NA,"ELS"
"COOKS POND","POND",95.79998779,497,NA,"ELS"
"SHAWS POND","POND",24.09999085,461,NA,"ELS"
"OTTER POND","POND",71.39996338,4082,NA,"ELS"
"DODGE POND","POND",7.699996948,300,NA,"ELS"
"BILLINGS POND","POND",9.699996948,57,NA,"ELS"
"CALDWELL POND","POND",11.59999847,67,NA,"ELS"
"LITTLE ELMORE POND","POND",9.299995422,129,NA,"ELS"
"FERN LAKE","LAKE",26.29998779,181,NA,"ELS"
"GREAT AVERILL POND","POND",340,3046,NA,"ELS"
"ECHO POND","POND",204.3999023,6133,NA,"ELS"
"DANIELS POND","POND",26.09999085,363,NA,"ELS"
"CLARK POND","POND",11,422,NA,"ELS"
"LOWELL LAKE","LAKE",38.79998779,546,NA,"ELS"
"FERRIN POND","POND",4.899997711,44,NA,"ELS"
"HAUNTED LAKE","LAKE",54.69998169,1528,NA,"ELS"
"STUMP POND","POND",7.099998474,106,NA,"ELS"
"LINCOLN POND","POND",11.59999847,73,NA,"ELS"
"HIDDEN LAKE","LAKE",5.699996948,285,NA,"ELS"
"PACKARD POND","POND",17.29998779,13709,NA,"ELS"
"BEAVER POND","POND",7.399997711,80,NA,"ELS"
"UPPER PIERCE POND","POND",127.3999634,2134,NA,"ELS"
"TOBEY POND","POND",4.5,44,NA,"ELS"
"BEAN POND","POND",12.3999939,153,NA,"ELS"
"BROAD BAY","UNKNOWN",162.3999023,87770,NA,"ELS"
"BEAN POND","POND",12.8999939,453,NA,"ELS"
"ROCKY POND","POND",8,148,NA,"ELS"
"UPPER BEECH POND","POND",50.79998779,212,NA,"ELS"
"STAR LAKE","LAKE",25.69999695,417,NA,"ELS"
"NAY POND","POND",20.79998779,171,NA,"ELS"
"LUFKIN POND","POND",16.8999939,347,NA,"ELS"
"HARDWOOD POND","POND",19,96,NA,"ELS"
"LILY POND","POND",11.3999939,106,NA,"ELS"
"LITTLE POND","POND",7.099998474,140,NA,"ELS"
"LITTLE POND","POND",5.399997711,52,NA,"ELS"
"SUNSET LAKE","LAKE",37.69998169,210,NA,"ELS"
"UNKNOWN POND","POND",6.699996948,111,NA,"ELS"
"WEARE RESERVOIR","RESERVOIR",127.7999878,7462,NA,"ELS"
"LITTLE AVERILL POND","POND",183.1999512,1168,NA,"ELS"
"LITTLE ROCK POND","POND",6.099998474,52,NA,"ELS"
"LAKE MANSFIELD","LAKE",15.59999847,645,NA,"ELS"
"BEAVER POND","POND",18.19999695,256,NA,"ELS"
"BIG MUDDY POND","POND",5.399997711,41,NA,"ELS"
"GRIFFITH LAKE","LAKE",6,60,NA,"ELS"
"HAYSTACK POND","POND",10.79999542,52,NA,"ELS"
"HOLLAND POND","POND",131.3999023,2408,NA,"ELS"
"HOWE POND","POND",20.8999939,767,NA,"ELS"
"SOMERSET RESERVOIR","RESERVOIR",597.699707,6914,NA,"ELS"
"STERLING POND","POND",2.699998856,10,NA,"ELS"
"MOSES POND","POND",2.599998474,47,NA,"ELS"
"GRANITE LAKE","LAKE",97.39996338,1085,NA,"ELS"
"PEA PORRIDGE POND","POND",63.5,541,NA,"ELS"
"PROVINCE LAKE","LAKE",385.7998047,1839,NA,"ELS"
"SAND POND","POND",65.29998779,326,NA,"ELS"
"SILVER LAKE","LAKE",388.5998535,5662,NA,"ELS"
"IRON POND","POND",10.3999939,174,NA,"ELS"
"RICHARDSON POND","POND",180.6999512,3569,NA,"ELS"
"UNKNOWN POND","POND",4.5,73,NA,"ELS"
"BEAL POND","POND",11.09999847,111,NA,"ELS"
"JESSIE POND","POND",4.299999237,28,NA,"ELS"
"ABBOTTS POND","POND",9.899993897,93,NA,"ELS"
"MUD POND","POND",21.69999695,171,NA,"ELS"
"BLACK POND","POND",6.5,477,NA,"ELS"
"TRAFTON POND","POND",19.79998779,899,NA,"ELS"
"NORTHWEST POND","POND",12.79999542,933.15,NA,"ELS"
"FOSTERS POND","POND",23.29998779,251,NA,"ELS"
"THE POGUE","UNKNOWN",5,34,NA,"ELS"
"(NO NAME)","NO NAME",7.699996948,83,NA,"ELS"
"SQUAM LAKE","LAKE",2714.898438,10984,NA,"ELS"
"LAKE WAUKEWAN","LAKE",389.0998535,3318,NA,"ELS"
"WAUKEENA LAKE","LAKE",24.69999695,114,NA,"ELS"
"ADDER POND","POND",10.69999695,91,NA,"ELS"
"SUNSET LAKE","LAKE",87.29998779,1417,NA,"ELS"
"MEETINGHOUSE POND","POND",8.199996948,85,NA,"ELS"
"CRANE NECK POND","POND",4.599998474,332,NA,"ELS"
"CROOKED POND","POND",11.79999542,83,NA,"ELS"
"LONG POND","POND",34,1691,NA,"ELS"
"MARSH POND","SWAMP",8.099998474,189,NA,"ELS"
"SMITH POND","POND",11.29999542,215,NA,"ELS"
"KIMBALL POND","POND",10.8999939,212,NA,"ELS"
"MENDUMS POND","POND",98.89996338,1779,NA,"ELS"
"(NO NAME)","NO NAME",6.799999237,124,NA,"ELS"
"DORRS POND","POND",9.199996948,583,NA,"ELS"
"JUGGERNAUT POND","POND",5.599998474,47,NA,"ELS"
"STONE POND","POND",31.3999939,212,NA,"ELS"
"SEBBINS POND","POND",7.899997711,60,NA,"ELS"
"SCOTT POND","POND",51.3999939,1582,NA,"ELS"
"SIP POND","POND",51.5,1228,NA,"ELS"
"CRANBERRY POND","POND",8,132,NA,"ELS"
"MOORES POND","POND",11.8999939,622,NA,"ELS"
"CHESHIRE POND","POND",14.29999542,8809,NA,"ELS"
"SHERMAN RESERVOIR","UNKNOWN",75.79998779,61290,NA,"ELS"
"KEZAR LAKE","LAKE",68.89996338,2696,NA,"ELS"
"LAKE WAMPONOAG","LAKE",89.19995117,751,NA,"ELS"
"NORTH RIVER POND","POND",33.59997559,337,NA,"ELS"
"DRURY POND","POND",12.8999939,844,NA,"ELS"
"BABBIDGE RESERVOIR","RESERVOIR",11.69999695,1300,NA,"ELS"
"NORTHWOOD LAKE","LAKE",256.1999512,5431.67,NA,"ELS"
"WEST POND","POND",70,285,NA,"ELS"
"GREAT HILL POND","POND",26.3999939,383,NA,"ELS"
"PEMIGEWASSET LAKE","LAKE",103.3999634,1269,NA,"ELS"
"BOG POND","SWAMP",8.399993897,8513,NA,"ELS"
"HANCOCK POND","POND",129,1147,NA,"ELS"
"DAN CHARLES POND","POND",11.3999939,137,NA,"ELS"
"TURTLE POND","POND",53.5,510,NA,"ELS"
"DUBES POND","POND",37.5,1440,NA,"ELS"
"QUIMBY POND","POND",67.69995117,181,NA,"ELS"
"LITTLE POND","POND",13.29999542,7335,NA,"ELS"
"LEVI POND","POND",9.199996948,78,NA,"ELS"
"PIGEON POND","POND",29,316,NA,"ELS"
"LAKE NINEVAH","LAKE",69.19995117,313,NA,"ELS"
"OSMORE POND","POND",18.69999695,298,NA,"ELS"
"WHEELER POND","POND",28.29998779,1676,NA,"ELS"
"COW MTN. POND","POND",3.099998474,52,NA,"ELS"
"CANAAN STREET LAKE","LAKE",119.3999634,627,NA,"ELS"
"CONTOOCOOK LAKE","LAKE",162.8999023,3642,NA,"ELS"
"CRYSTAL LAKE","LAKE",178.5,7130,NA,"ELS"
"HALFMOON LAKE","LAKE",114.3999634,1730,NA,"ELS"
"HUBBARD POND","POND",77.89996338,906,NA,"ELS"
"ONWAY LAKE","LAKE",72.59997559,2193.92,NA,"ELS"
"WHITEOAK POND","POND",122.2999878,1272,NA,"ELS"
"RODERIQUE POND","POND",14.09999847,115.25,NA,"ELS"
"SUGAR BERTH POND","POND",10.19999695,135,NA,"ELS"
"LITTLE FISH POND","POND",6.099998474,132,NA,"ELS"
"MUD POND","POND",5.899997711,88,NA,"ELS"
"HORSESHOE POND","POND",13,461,NA,"ELS"
"DERBY POND","POND",75.5,435,NA,"ELS"
"ST ALBANS RES (SO. PART)","RESERVOIR",10.69999695,557,NA,"ELS"
"GILLETT POND","POND",12.3999939,578,NA,"ELS"
"SUNRISE LAKE","LAKE",22.29998779,238,NA,"ELS"
"BREESE POND","POND",5.5,124,NA,"ELS"
"CARTER POND","POND",6.699996948,4033,NA,"ELS"
"NO NAME(NO NAME LAKE)","NO NAME",6.699996948,186,NA,"ELS"
"BERKSHIRE POND","POND",7.299999237,523,NA,"ELS"
"MUD POND","POND",7.899997711,85,NA,"ELS"
"BERLIN POND","POND",118.0999756,2647,NA,"ELS"
"LIME POND","POND",5.5,101,NA,"ELS"
"NEAL POND","POND",75.59997559,2264,NA,"ELS"
"BURNS POND","POND",41.19998169,1287,NA,"ELS"
"MOSES POND","POND",10.79999542,91,NA,"ELS"
"HALL POND","POND",4.399997711,233,NA,"ELS"
"PELHAM LAKE","LAKE",32.09997559,1098,NA,"ELS"
"SADAWGA LAKE","LAKE",78.39996338,461,NA,"ELS"
"BEAR POND","POND",98.09997559,3787.93,NA,"ELS"
"HANSEN POND","POND",9.899993897,88,NA,"ELS"
"WHEELWRIGHT POND","POND",41.3999939,448,NA,"ELS"
"ARLINGTON MILL RESERVOIR","RESERVOIR",110.8999634,5287.15,NA,"ELS"
"NATICOOK LAKE","LAKE",29.79998779,153,NA,"ELS"
"KENOZA LAKE","LAKE",100,528,NA,"ELS"
"JOHNSONS POND","POND",72.09997559,1334,NA,"ELS"
"ALTHEA LAKE","LAKE",17.59999085,62,NA,"ELS"
"NEWFIELD POND","POND",34.59997559,132,NA,"ELS"
"SALEM POND","POND",242.7999268,34092,NA,"ELS"
"DARRAH POND","POND",5.299999237,39,NA,"ELS"
"(NO NAME)","NO NAME",19.69999695,287,NA,"ELS"
"STEARNS POND","POND",99.89996338,2341,NA,"ELS"
"HOVEYS POND","POND",14.5,91,NA,"ELS"
"(NO NAME)","NO NAME",15.19999695,18070,NA,"ELS"
"MARTIN MEADOW POND","SWAMP",50.09997559,399,NA,"ELS"
"KETTLE POND","POND",43.69998169,355,NA,"ELS"
"WALKER POND","POND",5.199996948,370,NA,"ELS"
"LAKE PARAN","LAKE",14.19999695,3649,NA,"ELS"
"WARREN POND","POND",10,98,NA,"ELS"
"FRENCH POND","POND",12.79999542,360,NA,"ELS"
"UNKNOWN POND","POND",4.399997711,166,NA,"ELS"
"LAKE ST. CATHERINE","LAKE",349.5,2997,NA,"ELS"
"PONTOOSUC LAKE","LAKE",214.1999512,5672,NA,"ELS"
"BLACK BROOK POND","POND",140.3999023,5322,NA,"ELS"
"SOUTH POND","POND",25.19999695,145,NA,"ELS"
"FORESTER POND","POND",3.199998856,34,NA,"ELS"
"AYERS POND","POND",88.5,785,NA,"ELS"
"FOREST LAKE","LAKE",32.59997559,1808,NA,"ELS"
"LOVELL LAKE","LAKE",208.2999268,1248,NA,"ELS"
"SWAIN'S LAKE","LAKE",171,793,NA,"ELS"
"COLE POND","POND",15.19999695,153,NA,"ELS"
"QUEEN LAKE","LAKE",60,179,NA,"ELS"
"QUABBIN RESERVOIR","RESERVOIR",9059.09375,46936,NA,"ELS"
"WHITEHALL POND","POND",10.29999542,1305,NA,"ELS"
"DEAN POND","POND",25.3999939,531,NA,"ELS"
"KENDALL RESERVOIR","RESERVOIR",57.29998779,456,NA,"ELS"
"LARKUM POND","POND",7.199996948,91,NA,"ELS"
"(NO NAME)","NO NAME",26.59999085,445,NA,"ELS"
"GOOSE POND","POND",4.099998474,52,NA,"ELS"
"HAMILTON RESERVOIR","RESERVOIR",163.1999512,2919,NA,"ELS"
"(NO NAME)","NO NAME",7.699996948,1000,NA,"ELS"
"MOREY POND","POND",18,373,NA,"ELS"
"BISSONNETTE POND","POND",19.69999695,963,NA,"ELS"
"WILSON RESERVOIR","RESERVOIR",44.19998169,2530,NA,"ELS"
"WATERMAN POND","POND",13,290,NA,"ELS"
"BAILEY POND","POND",18.5,834,NA,"ELS"
"TIPPECANSETT POND","POND",23.3999939,189,NA,"ELS"
"SECRET LAKE","LAKE",18.69999695,355,NA,"ELS"
"THE RESERVOIR","RESERVOIR",8.599998474,593,NA,"ELS"
"SCHOOL HOUSE POND","POND",39.19998169,477,NA,"ELS"
"(NO NAME)","NO NAME",8.199996948,62,NA,"ELS"
"FRESH MEADOW POND","SWAMP",24.19999695,228,NA,"ELS"
"KINGS POND","POND",9.099998474,57,NA,"ELS"
"ISLAND POND","POND",5,88,NA,"ELS"
"ROCKY POND","POND",8.299995422,54,NA,"ELS"
"HALFWAY POND","POND",87.09997559,275,NA,"ELS"
"CHARGE POND","POND",6.799999237,88,NA,"ELS"
"EZEKIEL POND","POND",14.3999939,49,NA,"ELS"
"LITTLE HERRING POND","POND",32.5,106,NA,"ELS"
"FLAX POND","POND",6.099998474,34,NA,"ELS"
"SPECTACLE POND","POND",38.5,505,NA,"ELS"
"ROBBINS POND","POND",11.5,49,NA,"ELS"
"LANE POND","POND",7.299999237,145,NA,"ELS"
"FOSTERS POND","POND",13.29999542,2419,NA,"ELS"
"STREETER POND","POND",7.199996948,174,NA,"ELS"
