"name","type","lsa_ha","ca_ha","region","dataset"
"NLA12_CA-143","MAN_MADE",2.48152919666,4.95,"11","NLA"
"NLA12_CA-145","MAN_MADE",4.66763294594,9.54,"11","NLA"
"NLA12_CA-154","RESERVOIR",37.0742396276,30068.2312514,"10","NLA"
"NLA12_CA-156","MAN_MADE",76.8394287635,497.25,"10","NLA"
"NLA12_CA-157","MAN_MADE",168.429027978,1084.22216246,"11","NLA"
"NLA12_CA-166","NATURAL",12.6097125469,135.899687405,"6","NLA"
"NLA12_CA-167","MAN_MADE",10.094738933,152.82,"6","NLA"
"NLA12_CA-168","MAN_MADE",70.103015086,23620.3735477,"11","NLA"
"NLA12_CA-172","MAN_MADE",25.6119286311,855.869011001,"11","NLA"
"NLA12_CA-174","MAN_MADE",15.3353534407,1.85544816971,"11","NLA"
"NLA12_CA-180","MAN_MADE",4477.60617681,482537.988478,"11","NLA"
"NLA12_CA-181","MAN_MADE",14.3702086141,23.85,"11","NLA"
"NLA12_CA-188","RESERVOIR",309.725177511,7826.79010202,"11","NLA"
"NLA12_CA-190","MAN_MADE",48.1414414331,1991.47758694,"11","NLA"
"NLA12_CA-200","NATURAL",13.9086756891,99.4370387081,"6","NLA"
"NLA12_CA-206","RESERVOIR",11052.3536251,1552306.12818,"6","NLA"
"NLA12_CA-208","NATURAL_ENH",180.0083266,5081.4,"6","NLA"
"NLA12_CA-212","MAN_MADE",16.2944610983,284.117694454,"6","NLA"
"NLA12_CA-223","MAN_MADE",34.9782840381,1986.99491306,"6","NLA"
"NLA12_CA-R01","MAN_MADE",99.6608406323,2631.73608996,"7","NLA"
"NLA12_CA-R02","MAN_MADE",385.895722654,44572.7627422,"6","NLA"
"NLA12_CA-R03","MAN_MADE",2267.070511,268558.636803,"11","NLA"
"NLA12_CA-R05","NATURAL",2.89467735634,23.67,"6","NLA"
"NLA12_CA-R06","NATURAL",2.91923455149,15.75,"6","NLA"
"NLA12_CA-R09","NATURAL",3.82781493392,689.730881767,"6","NLA"
