latitude	longitude	site
40.64923333	41.64139722	Tortum
40.19072222	28.54881667	Uluabat
40.398611	37.833611	Ulugol-Mesudiye
40.61916667	40.29361111	Uzungol
40.77861111	32.02527778	Yenicaga
54.65444444	-3.219794444	Bassenthwaite
54.39690556	-2.978013889	Blelham
54.576175	-3.135458333	Derwent
54.48544444	-7.843722222	Erne
54.44869167	-3.019344444	Grasmere
54.58241667	-6.396222222	Neagh
54.39711389	-2.951833333	Windermere North Basin
54.31443333	-2.951461111	Windermere South Basin
