name	name_type	name_resolved	authority_system	authority_id
Helluomorphoides nigripennis	scientific	Helluomorphoides nigripennis	NA	NA
Dyschirius abbreviatus	scientific	Dyschirius abbreviatus	NA	NA
Selenophorus discopunctatus	scientific	Selenophorus discopunctatus	NA	NA
Selenophorus palliatus	scientific	Selenophorus palliatus	NA	NA
Cicindela rufiventris	scientific	Cicindela rufiventris	NA	NA
Selenophorus fatuus	scientific	Selenophorus fatuus	NA	NA
Galerita janus	scientific	Galerita janus	NA	NA
Trichotichnus dichrous	scientific	Trichotichnus dichrous	NA	NA
Tetracha floridana	scientific	Tetracha floridana	NA	NA
Pasimachus marginatus	scientific	Pasimachus marginatus	NA	NA
Harpalus obliquus	scientific	Harpalus obliquus	NA	NA
Tetragonoderus pallidus	scientific	Tetragonoderus pallidus	NA	NA
Cymindis punctigera	scientific	Cymindis punctigera	NA	NA
Helluomorphoides ferrugineus	scientific	Helluomorphoides ferrugineus	NA	NA
Discoderus robustus	scientific	Discoderus robustus	NA	NA
Selenophorus aeneopiceus	scientific	Selenophorus aeneopiceus	NA	NA
Pasimachus obsoletus	scientific	Pasimachus obsoletus	NA	NA
Pasimachus californicus	scientific	Pasimachus californicus	NA	NA
Cylindera lemniscata	scientific	Cylindera lemniscata	NA	NA
Poecilus cyanicolor	scientific	Poecilus cyanicolor	NA	NA
Discoderus cordicollis	scientific	Discoderus cordicollis	NA	NA
Agonum cyclifer	scientific	Agonum cyclifer	NA	NA
Selenophorus concinnus	scientific	Selenophorus concinnus	NA	NA
Lebia subgrandis	scientific	Lebia subgrandis	NA	NA
Cyclotrachelus alternans	scientific	Cyclotrachelus alternans	NA	NA
Pterostichus sculptus	scientific	Pterostichus sculptus	NA	NA
Carabus sylvosus	scientific	Carabus sylvosus	NA	NA
Cyclotrachelus sodalis	scientific	Cyclotrachelus sodalis	NA	NA
Amara pennsylvanica	scientific	Amara pennsylvanica	NA	NA
Amara rubrica	scientific	Amara rubrica	NA	NA
Cyclotrachelus deceptus	scientific	Cyclotrachelus deceptus	NA	NA
Colliuris pensylvanica	scientific	Colliuris pensylvanica	NA	NA
Pentagonica picticornis	scientific	Pentagonica picticornis	NA	NA
Calosoma externum	scientific	Calosoma externum	NA	NA
Zuphium americanum	scientific	Zuphium americanum	NA	NA
Pterostichus ventralis	scientific	Pterostichus ventralis	NA	NA
Dromochorus pruininus	scientific	Dromochorus pruininus	NA	NA
Galerita atripes	scientific	Galerita atripes	NA	NA
Cyclotrachelus hypherpiformis	scientific	Cyclotrachelus hypherpiformis	NA	NA
Cyclotrachelus brevoorti	scientific	Cyclotrachelus brevoorti	NA	NA
Anisodactylus verticalis	scientific	Anisodactylus verticalis	NA	NA
Clivina rubicunda	scientific	Clivina rubicunda	NA	NA
Clivina dentipes	scientific	Clivina dentipes	NA	NA
Calleida viridipennis	scientific	Calleida viridipennis	NA	NA
Harpalus cordatus	scientific	Harpalus cordatus	NA	NA
Calosoma marginale	scientific	Calosoma marginale	NA	NA
Cicindela pulchra	scientific	Cicindela pulchra	NA	NA
Cymindis arizonensis	scientific	Cymindis arizonensis	NA	NA
Pseudomorpha castanea	scientific	Pseudomorpha castanea	NA	NA
Harpalus retractus	scientific	Harpalus retractus	NA	NA
Calathus advena	scientific	Calathus advena	NA	NA
Notiophilus directus	scientific	Notiophilus directus	NA	NA
Pterostichus restrictus	scientific	Pterostichus restrictus	NA	NA
Cymindis unicolor	scientific	Cymindis unicolor	NA	NA
Amara lindrothi	scientific	Amara lindrothi	NA	NA
Carabus taedatus	scientific	Carabus taedatus	NA	NA
Agonum placidum	scientific	Agonum placidum	NA	NA
Amara alpina	scientific	Amara alpina	NA	NA
